X,Y,objectid,pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,laua,ward,hlthau,ctry,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,ced,nhser,rgn,calncv,stp
-2.075290172,57.133489672781678,1046,AB1 3SU,AB1  3SU,AB1 3SU,198001,199606,0,395542,0804735,1,S00089093,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.133505,-2.075282,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.069808531,57.135037968468595,1047,AB1 3SW,AB1  3SW,AB1 3SW,198001,199606,0,395874,0804907,1,S00090595,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006636,S02001258,S34003116,S03000012,S99999999,S99999999,1,7B1,57.135053,-2.0698,S99999999,S99999999,S23000009,675,S99999999,S99999999,S99999999,S99999999,S99999999
-2.073854902,57.134478670346368,1048,AB1 3SX,AB1  3SX,AB1 3SX,198001,199606,0,395629,0804845,1,S00089094,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006634,S02001258,S34003142,S03000012,S99999999,S99999999,1,7A1,57.134494,-2.073847,S99999999,S99999999,S23000009,500,S99999999,S99999999,S99999999,S99999999,S99999999
-2.070071956,57.134552736198636,1049,AB1 3SY,AB1  3SY,AB1 3SY,198001,199606,0,395858,0804853,1,S00090596,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006636,S02001258,S34003116,S03000012,S99999999,S99999999,1,7B1,57.134568,-2.070063,S99999999,S99999999,S23000009,675,S99999999,S99999999,S99999999,S99999999,S99999999
-2.079829036,57.131591410975808,1050,AB1 3TA,AB1  3TA,AB1 3TA,198001,199606,0,395267,0804524,1,S00089091,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.131607,-2.079821,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.074547395,57.133795545313596,1051,AB1 3TB,AB1  3TB,AB1 3TB,198001,199606,0,395587,0804769,1,S00089092,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006634,S02001258,S34003142,S03000012,S99999999,S99999999,1,7A1,57.133811,-2.074539,S99999999,S99999999,S23000009,500,S99999999,S99999999,S99999999,S99999999,S99999999
-2.074942495,57.133103613852334,1052,AB1 3TD,AB1  3TD,AB1 3TD,198001,199606,0,395563,0804692,1,S00089112,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006634,S02001258,S34003116,S03000012,S99999999,S99999999,1,7B1,57.133119,-2.074934,S99999999,S99999999,S23000009,500,S99999999,S99999999,S99999999,S99999999,S99999999
-2.072237934,57.135521655842503,1053,AB1 3TE,AB1  3TE,AB1 3TE,198001,199606,0,395727,0804961,1,S00089114,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003116,S03000012,S99999999,S99999999,1,7C2,57.135537,-2.07223,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.080738529,57.132039972754306,1054,AB1 3TF,AB1  3TF,AB1 3TF,198410,199606,0,395212,0804574,1,S00089088,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.132056,-2.08073,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.06815877,57.136296512014901,1055,AB1 3TH,AB1  3TH,AB1 3TH,198001,199606,0,395974,0805047,1,S00089115,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006636,S02001258,S34003062,S03000012,S99999999,S99999999,1,7A1,57.136312,-2.06815,S99999999,S99999999,S23000009,675,S99999999,S99999999,S99999999,S99999999,S99999999
-2.068092184,57.136018074859777,1056,AB1 3TJ,AB1  3TJ,AB1 3TJ,198001,199606,0,395978,0805016,1,S00089115,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006636,S02001258,S34003062,S03000012,S99999999,S99999999,1,7A1,57.136034,-2.068084,S99999999,S99999999,S23000009,675,S99999999,S99999999,S99999999,S99999999,S99999999
-2.069231243,57.13554134243595,1057,AB1 3TL,AB1  3TL,AB1 3TL,198001,199606,0,395909,0804963,1,S00089116,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006636,S02001258,S34003116,S03000012,S99999999,S99999999,1,7B1,57.135557,-2.069223,S99999999,S99999999,S23000009,675,S99999999,S99999999,S99999999,S99999999,S99999999
-2.067928927,57.137105109665171,1058,AB1 3TN,AB1  3TN,AB1 3TN,198001,199606,0,395988,0805137,1,S00089111,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003062,S03000012,S99999999,S99999999,1,7A1,57.137121,-2.06792,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.066656426,57.136908172269003,1059,AB1 3TP,AB1  3TP,AB1 3TP,198001,199606,0,396065,0805115,1,S00089115,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006636,S02001258,S34003062,S03000012,S99999999,S99999999,1,7A1,57.136924,-2.066648,S99999999,S99999999,S23000009,675,S99999999,S99999999,S99999999,S99999999,S99999999
-2.076279983,57.132815339701132,1060,AB1 3TQ,AB1  3TQ,AB1 3TQ,198001,199606,0,395482,0804660,1,S00089092,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006634,S02001258,S34003142,S03000012,S99999999,S99999999,1,7A1,57.132831,-2.076272,S99999999,S99999999,S23000009,500,S99999999,S99999999,S99999999,S99999999,S99999999
-2.072602541,57.136123304633799,1061,AB1 3TR,AB1  3TR,AB1 3TR,198001,199606,0,395705,0805028,1,S00089114,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003116,S03000012,S99999999,S99999999,1,7C2,57.136139,-2.072594,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.069756882,57.133906136757957,1062,AB1 3TS,AB1  3TS,AB1 3TS,198001,199606,0,395877,0804781,1,S00090466,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006636,S02001258,S34003116,S03000012,S99999999,S99999999,1,7B1,57.133922,-2.069748,S99999999,S99999999,S23000009,675,S99999999,S99999999,S99999999,S99999999,S99999999
